name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"LEADING BRANDS INC"	"52170U"	1993	27971	2005	27971	1	1993	2005	
"ENDOGEN INC"	"29264J"	1992	27973	1997	27973	1	1992	1997	1
"WINWIN GAMING INC"	"976512"	1992	27975	2005	27975	1	1992	2005	0
"JARDEN CORP"	"471109"	1992	27980	2006	27980	1	1992	2006	1
"CHICOS FAS INC"	"168615"	1992	27981	2006	27981	1	1992	2006	
"FIRST FED SVGS BK BRUNSWICK"	"32018N"	1993	27982	1996	27982	1	1993	1996	
"AETHLON MEDICAL INC"	"00808Y"	1999	27983	2005	27983	1	1999	2005	0
"LIFE PARTNERS GROUP INC"	"532157"	1992	27985	1995	27985	1	1992	1995	
"THIRD FINANCIAL CORP"	"884138"	1993	27986	1995	27986	1	1993	1995	
"TRANSCOR WASTE SERVICES INC"	"893629"	1992	27987	1998	27987	1	1992	1998	0
"REPROS THERAPEUTICS INC"	"76028H"	1992	27988	2006	27988	1	1992	2006	0
"BANKERS LIFE HOLDING CORP"	"066229"	1992	27990	1995	27990	1	1992	1995	
"BROOKSTONE INC"	"11499Z"	1992	27991	2006	27991	1	1992	2006	1
"UNION BANKSHARES LTD/CO"	"905403"	1993	27996	2001	27996	1	1993	2001	
"APPLIED SIGNAL TECHNOLOGY"	"038237"	1992	27997	2006	27997	1	1992	2006	
"NSA INTERNATIONAL INC"	"62938F"	1991	27998	1997	27998	1	1991	1997	
"MSYSTEMS LTD"	"M7061C"	1991	28001	2005	28001	1	1991	2005	1
"GULFTERRA ENERGY PARTNERS-LP"	"40274U"	1993	28003	2003	28003	1	1993	2003	0
"REVLON CONSUMER PRODUCTS CP"	"761519"	1992	28004	2006	28004	2	1992	2006	1
"LEASING SOLUTIONS INC"	"522113"	1992	28008	1998	28008	1	1992	1998	
"MAGNA-LAB INC  -CL A"	"559235"	1991	28009	2005	28009	1	1991	2005	1
"MERIDIAN DATA INC"	"589601"	1992	28010	1998	28010	1	1992	1998	1
"FIRSTWAVE TECHNOLOGIES INC"	"33762N"	1992	28016	2005	28016	1	1992	2005	0
"CONSORSIO G GRUPO DINA  -ADR"	"210306"	1992	28017	1999	28017	1	1992	1999	0
"GYMBOREE CORP"	"403777"	1992	28018	2006	28018	1	1992	2006	0
"LIBERTY TECHNOLOGIES INC"	"531281"	1992	28019	1997	28019	1	1992	1997	1
"SIGHT RESOURCE CORP"	"82655N"	1993	28020	2001	28020	1	1993	2001	
"BANCFIRST CORP/OK"	"05945F"	1993	28022	2006	28022	1	1993	2006	0
"CORAL GABLES FEDCORP INC"	"217775"	1993	28024	1994	28024	1	1993	1994	0
"DAVIDSON & ASSOCIATES INC"	"238588"	1992	28025	1995	28025	1	1992	1995	
"ENVIROTEST SYSTEMS CP  -CL A"	"29409W"	1992	28026	1997	28026	1	1992	1997	1
"AMARIN CORP PLC  -ADR"	"023111"	1992	28027	2006	28027	1	1992	2006	
"JOCKEY CLUB INC"	"477731"	1993	28028	1994	28028	1	1993	1994	
"ACE LTD"	"G0070K"	1992	28034	2006	28034	1	1992	2006	1
"HAMILTON BANCORP INC"	"407008"	1993	28052	1993	28052	1	1993	1993	
"INCO HOMES CORP"	"453257"	1992	28054	1998	28054	1	1992	1998	
"FFW CORP"	"30242L"	1993	28058	2006	28058	1	1993	2006	
"SUNRISE BANCORP INC/DE"	"86768H"	1993	28060	1994	28060	1	1993	1994	
"CASINO DATA SYSTEMS"	"147583"	1992	28064	2000	28064	1	1992	2000	1
"FIRST SHENANGO BANCORP INC"	"336409"	1993	28066	1997	28066	1	1993	1997	
"BHC FINANCIAL INC"	"05544W"	1992	28076	1996	28076	1	1992	1996	
"NEOWARE INC"	"64065P"	1993	28078	2006	28078	1	1993	2006	0
"NEVSUN RESOURCES LTD"	"64156L"	2002	28080	2006	28080	1	2002	2006	0
"SANCTUARY WOOD MULTIMEDIA"	"79971E"	1992	28089	1997	28089	1	1992	1997	
"HENLEY HEALTHCARE INC"	"42550V"	1996	28109	1999	28109	1	1996	1999	
"FOSSIL INC"	"349882"	1992	28118	2005	28118	1	1992	2005	1
"GENERAL GROWTH PPTYS INC"	"370021"	1992	28119	2006	28119	1	1992	2006	
"JEFFERSON SVGS BANCORP INC"	"474900"	1993	28120	1999	28120	1	1993	1999	
"NFO WORLDWIDE INC"	"62910N"	1992	28125	1999	28125	1	1992	1999	
"STARTER CORP"	"855684"	1992	28127	1997	28127	1	1992	1997	1
