pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
10640849	6123	"m2006"	1984	6123	1984																
10641087	14232	"NBER"	1985	14232	1993																
10641133	8101	"MTCH1"	1969	8101	2006																
10641206	6266	"NBER"	1950	6266	2006																
10642763	11637	"NBER"	1972	11637	1978																
10642822	4204	"NBER"	1954	4204	1997	3734	1998	3734	2005												
10642878	6231	"MTCH1"	1960	6231	1971																
10643175	4978	"PASS1"	1974	4978	1991																
10643359	8762	"NBER"	1950	8762	2006																
10643374	5306	"NBER"	1960	5306	2004																
10643746	15172	"MTCH1"	1985	15172	2005																
10644086	3493	"PASS1"	1963	3493	1983																
10644124	10248	"PASS1"	1980	10248	1985	6785	1995	6785	1996	7985	1997	7985	2005								
10644170	14311	"UPDT2"	1987	14311	2006																
10644188	6044	"NBER"	1984	6044	2004																
10644988	1753	"NBER"	1950	1753	1992																
10645165	6104	"NBER"	1950	6104	2006																
10645283	2154	"NBER"	1960	2154	2006																
10645587	4623	"NBER"	1981	4623	1999																
10645640	14873	"PASS1"	1987	14873	1990																
10645773	10041	"PASS1"	1974	10041	1984																
10646148	213449	"UPDT2"	1998	213449	2006																
10646204	5894	"UPDT2"	1968	5894	2006																
10646518	2920	"NBER"	1950	2920	1988																
10646652	7108	"NBER"	1969	7108	1988	25124	1999	25124	2005												
10647013	10605	"PASS1"	1981	10605	1982																
10647193	1657	"PASS1"	1984	1657	1986																
10647201	1209	"NBER"	1950	1209	2006																
10647255	11060	"NBER"	1960	11060	2006																
10647259	9714	"PASS1"	1980	9714	1986																
10647389	2663	"NBER"	1950	2663	2006																
10647786	7298	"PASS1"	1956	7298	1983																
10648024	11349	"NBER"	1963	11349	1997																
10648243	5077	"NBER"	1950	5077	1983																
10648327	12787	"PASS1"	1986	12787	1989																
10649047	11211	"PASS1"	1983	11211	1988																
10649076	3773	"NBER"	1983	3773	2003	23067	2004	23067	2005												
10649264	1940	"PASS1"	1982	1940	2000																
10649364	3930	"NBER"	1950	3930	1994	28520	1995	28520	2004												
