pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
-19702	66448	"m2006"	1997	66448	2005																
-19541	121844	"m2006"	1997	121844	2006																
-19540	121844	"m2006"	1997	121844	2006																
-19291	62613	"m2006"	1995	62613	2006																
-19289	176118	"m2006"	2004	176118	2006																
-18938	11351	"m2006"	1962	11351	2006																
-18799	13470	"m2006"	1986	13470	2004																
-18511	11212	"m2006"	1974	11212	1992																
-18385	29284	"m2006"	1992	29284	2005																
-18223	163121	"m2006"	2004	163121	2006																
-18172	10971	"m2006"	1950	10971	1986																
-18143	11027	"m2006"	1972	11027	2005																
-17448	13945	"m2006"	1986	13945	1990																
-17088	4156	"m2006"	1980	4156	2006																
-16706	15521	"m2006"	1988	15521	2006																
-16700	25923	"m2006"	1985	25923	2006																
-16688	10000	"m2006"	1960	10000	2006																
-16348	26005	"m2006"	1991	26005	1993	8852	1994	8852	1996	3708	1997	3708	2005								
-16179	174876	"m2006"	2006	174876	2006																
-16161	30964	"m2006"	1993	30964	2005																
-15631	111491	"m2006"	1996	111491	2006																
-14668	15854	"m2006"	1988	15854	2003																
-13980	13218	"m2006"	1986	13218	1995	9921	1996	9921	2005												
-13956	8674	"m2006"	1968	8674	1987																
-13921	164624	"m2006"	2004	164624	2006																
-13540	128219	"m2006"	1999	128219	1999																
-13515	3979	"m2006"	1984	3979	1996																
-13484	22681	"m2006"	1989	22681	1999																
-13381	13163	"m2006"	1985	13163	2005																
-12839	28442	"m2006"	1992	28442	1997																
-12485	28262	"m2006"	1992	28262	2005																
-12040	152809	"m2006"	2001	152809	2006																
-11534	7161	"m2006"	1983	7161	2006																
-10342	6666	"m2006"	1976	6666	1980																
-9695	23667	"m2006"	1988	23667	2006																
-8619	27980	"m2006"	1992	27980	2006																
-8388	9590	"m2006"	1960	9590	2006																
-8259	28262	"m2006"	1992	28262	2005																
-6889	5374	"m2006"	1982	5374	2000	10247	2001	10247	2005												
-6880	61658	"m2006"	1994	61658	2003																
-6861	12660	"m2006"	1985	12660	1987																
-5767	4865	"m2006"	1974	4865	1982	6573	1983	6573	2005												
-5054	4345	"m2006"	1981	4345	1982																
-4772	21552	"m2006"	1989	21552	1992																
-4569	4054	"m2006"	1974	4054	1998	10247	1999	10247	2005												
-4428	177376	"m2006"	2005	177376	2006																
-4421	16545	"m2006"	1988	16545	1998																
-4349	125534	"m2006"	1999	125534	1999	27980	2003	27980	2005												
-4033	24966	"m2006"	1995	24966	2001																
-2376	161055	"m2006"	2002	161055	2006																
-2285	28936	"m2006"	1992	28936	2003																
-887	1812	"m2006"	1960	1812	1972																
-758	12609	"m2006"	1985	12609	1985																
-724	66391	"m2006"	1996	66391	1997	17452	1998	17452	2005												
-561	25932	"m2006"	1991	25932	1996																
-435	100011	"m2006"	2001	100011	2004																
-434	100011	"m2006"	2001	100011	2004																
-242	29424	"m2006"	1992	29424	1998																
10030414	8326	"MTCH1"	1973	8326	2006																
10030467	8006	"PASS1"	1974	8006	1986																
10030734	1847	"NBER"	1979	1847	1986																
10030761	100587	"MTCH1"	2000	100587	2005																
10030808	9268	"NBER"	1960	9268	1975																
10030845	15508	"MTCH1"	1989	15508	2006																
10030933	9140	"NBER"	1950	9140	1984																
10031263	3041	"NBER"	1950	3041	2006																
10031264	19364	"NBER"	1990	19364	1999	24625	2000	24625	2005												
10031414	8677	"NBER"	1969	8677	1978																
10031478	4961	"NBER"	1950	4961	1999																
10031601	1040	"NBER"	1950	1040	1984																
10031615	9492	"PASS1"	1983	9492	1988	12583	1989	12583	1997	6008	1998	6008	2005								
10031679	3864	"MTCH1"	1970	3864	1978																
10031689	4088	"NBER"	1971	4088	1986																
10031721	11060	"NBER"	1960	11060	2006																
10031768	4941	"NBER"	1950	4941	2006																
10031878	31881	"MTCH1"	1994	31881	2006																
10032010	7003	"NBER"	1961	7003	1990																
10032111	4510	"NBER"	1950	4510	2006																
10032118	2892	"NBER"	1950	2892	1974																
10032126	7078	"NBER"	1973	7078	1986	3558	1987	3558	1997												
10032152	8015	"NBER"	1960	10943	1978	8015	1979	8015	1997												
10032276	10049	"PASS1"	1960	10049	1969																
10032404	103159	"MTCH1"	1994	103159	2003																
10032427	9775	"PHRM"	1950	9775	1988	14261	1989	14261	2006												
10032442	6840	"NBER"	1962	6840	1985																
10032645	100080	"PASS1"	1993	100080	2006																
10032704	30349	"m2006"	1993	30349	1997	10420	1998	10420	2005												
10032754	5957	"NBER"	1960	5957	1985																
10032761	4961	"NBER"	1950	4961	1999																
10032783	4961	"NBER"	1950	4961	1999																
10032854	5894	"UPDT2"	1968	5894	2006																
10032867	8062	"NBER"	1960	8062	1998	3532	2000	3532	2005												
10032884	7652	"PASS1"	1975	7652	2006																
10032974	5581	"NBER"	1960	5581	2006																
10033020	10298	"NBER"	1965	10298	1986																
10033129	6302	"NBER"	1971	6302	1990																
10033269	11288	"NBER"	1956	11288	1999	8530	2000	8530	2005												
10033343	10966	"NBER"	1965	10966	1975																
10033396	11749	"MTCH1"	1984	11749	2005																
10033489	8723	"PASS1"	1984	8723	1984																
10033560	3868	"NBER"	1960	3868	1989																
10033592	5536	"MTCH1"	1974	5536	1986																
10033628	2243	"PASS1"	1978	2243	1982																
10033631	11691	"NBER"	1961	11691	1997																
10033664	2721	"MTCH1"	1974	2721	2006																
10033740	5696	"NBER"	1970	5696	1978																
10033779	4661	"PASS1"	1965	4661	1971																
10033788	7257	"NBER"	1950	7257	2006																
10034098	9390	"PASS1"	1974	9390	1986	9068	1987	9068	1989												
10034100	12652	"PASS1"	1986	12652	1989																
10034190	162354	"PASS1"	2003	162354	2006																
10034238	1366	"NBER"	1950	1366	1977																
10034253	19349	"MTCH1"	1994	19349	2006																
10034264	2902	"NBER"	1973	2902	1991																
10034295	12906	"MTCH1"	1985	12906	1991																
10034385	10004	"NBER"	1950	10004	1998	3502	1999	3502	2005												
10034430	15172	"PASS1"	1985	15172	2005																
10034491	11125	"NBER"	1960	11125	1975																
10034505	2178	"PASS1"	1973	2178	1977																
10034518	8820	"NBER"	1950	8820	1979																
10034557	4864	"NBER"	1950	4864	2006																
10034679	3659	"PASS1"	1963	3659	1976																
10034683	6026	"MTCH1"	1974	6026	1984																
10034705	7131	"NBER"	1950	7131	1980	5055	1981	5055	1985	13302	1986	13302	1991								
10034817	65089	"PASS1"	1951	65089	2006																
10034923	176362	"m2006"	2004	176362	2005																
10035016	4925	"NBER"	1973	4925	2006																
10035194	8137	"PASS1"	1974	8137	1979																
10035411	1218	"NBER"	1960	1218	1975																
10035414	10809	"NBER"	1961	10809	1995	10150	1996	10150	2005												
10035426	9163	"PASS1"	1974	9163	1979																
10035433	9465	"NBER"	1957	9465	2006																
10035456	4419	"PASS1"	1963	4419	1972																
10035458	9697	"NBER"	1960	9697	1988	8247	2006	8247	2006												
10035689	3479	"PASS1"	1976	3479	1979																
10035699	10622	"MTCH1"	1975	10622	2005																
10035749	11061	"NBER"	1960	11061	1973																
10035936	11163	"NBER"	1950	11163	1976																
10036028	3580	"MTCH1"	1950	3580	2006																
10036081	10212	"NBER"	1962	10212	1986																
10036221	5247	"NBER"	1964	5247	1996	5860	1997	5860	2005												
10036238	1945	"MTCH1"	1966	1944	1972	1945	1982	1945	2005												
10036456	213449	"UPDT2"	1998	213449	2006																
10036645	8530	"NBER"	1950	8530	2006																
10036736	6774	"NBER"	1950	6774	2006																
10036797	6028	"NBER"	1964	6028	1985																
10036814	2179	"NBER"	1962	2179	1980																
10036824	6510	"NBER"	1974	6510	1991																
10036976	7986	"PASS1"	1968	7986	1975																
10037027	5439	"NBER"	1950	5439	2006																
10037062	10156	"FRAT"	1950	10156	2006																
10037177	11636	"NBER"	1950	11636	2006																
10037207	11537	"NBER"	1966	11537	2006																
10037249	11089	"NBER"	1969	11089	1990																
10037442	3965	"PASS1"	1961	3965	1981																
10037499	11324	"NBER"	1968	11324	1976																
10037574	6326	"NBER"	1960	6326	2006																
10037645	9989	"NBER"	1968	9989	1978																
10037686	4087	"NBER"	1950	4087	2006																
10038055	4839	"UPDT2"	1952	4839	2006																
10038279	12383	"NBER"	1985	12383	2006																
10038322	8643	"MTCH1"	1963	8643	1988																
10038351	11186	"NBER"	1960	11186	1979	162254	1981	2827	1985	162254	1987	13934	1996	162254	1998	125434	2002	162254	2003	162254	2005
10038366	4094	"NBER"	1963	4094	2006																
10038507	10211	"FRAT"	1970	10211	2002	112033	2003	112033	2005												
10038640	1496	"MTCH1"	1964	1496	2004																
10038650	4881	"NBER"	1962	4881	2006																
10038658	10628	"PASS1"	1973	10628	1979																
10038692	28636	"MTCH1"	1992	28636	1996	17225	1997	17225	2005												
10038784	4286	"m2006"	1973	4286	1993																
10038862	11749	"MTCH1"	1984	11749	2005																
10038863	11749	"MTCH1"	1984	11749	2005																
10039064	10952	"NBER"	1954	10952	1983																
10039097	5650	"MTCH1"	1973	5650	2006																
10039103	125863	"m2006"	1998	125863	2006																
10039221	2410	"UPDT2"	1956	2410	2006																
10039381	18826	"m2006"	1993	18826	1998																
10039715	9931	"NBER"	1962	9931	1976																
10039821	1341	"NBER"	1962	1341	1984																
10039832	7187	"PASS1"	1973	7187	1979																
10039833	30938	"UPDT2"	1993	30938	1998																
10039950	6494	"MTCH1"	1976	6494	2005																
10039958	4510	"MTCH1"	1950	4510	2006																
10040377	8669	"m2006"	1974	8669	2002																
10040513	1637	"NBER"	1962	1637	1973																
10040564	25723	"MTCH1"	1991	25723	1997	4140	1998	4140	2003	29685	2004	29685	2004								
10040675	10519	"NBER"	1950	10519	2006																
10040685	10622	"PASS1"	1975	10622	2005																
10040697	5795	"NBER"	1970	5795	1977																
10040898	133104	"PASS1"	1998	133104	2005																
10041024	10542	"NBER"	1974	10542	1978																
10041042	4579	"NBER"	1963	4579	2006																
10041681	7471	"MTCH1"	1973	7471	2005																
10041806	9183	"PHRM"	1960	9183	1988	1478	1989	1478	2006												
10041874	1628	"NBER"	1950	1628	1975																
10041902	12368	"PASS1"	1984	12368	2005																
10042069	7652	"MTCH1"	1975	7652	2006																
10042619	9503	"NBER"	1960	9503	1986																
10042655	5492	"NBER"	1951	5492	2006																
10042699	10902	"NBER"	1974	10902	2006																
10042724	9334	"PASS1"	1974	9334	1984																
10042772	7363	"MTCH1"	1974	7364	1980	7363	1982	7363	1985	8068	1986	8068	2005								
10042866	125863	"m2006"	1998	125863	2006																
10043023	3244	"PASS1"	1974	3244	1991																
10043119	7471	"MTCH1"	1973	7471	2005																
10043138	5894	"UPDT2"	1968	5894	2006																
10043254	9775	"PHRM"	1950	9775	1988	14261	1989	14261	2006												
10043385	5860	"NBER"	1950	5860	2006																
10043410	5439	"NBER"	1950	5439	2006																
10043412	3492	"NBER"	1960	3492	1976																
10043426	19349	"PASS1"	1994	19349	2006																
10043642	9444	"m2006"	1982	9444	1987																
10044016	19113	"PASS1"	1988	15121	1988	19113	1989	19113	2005												
10044170	11222	"NBER"	1975	11222	1982																
10044174	4608	"NBER"	1966	4608	2006																
10044213	2135	"NBER"	1950	2135	1996																
10044266	110728	"PASS1"	1996	110728	2006																
10044592	8972	"NBER"	1950	8972	2006																
10044597	14456	"UPDT2"	1987	14456	1989																
10044637	1943	"NBER"	1965	1943	2002																
10044652	213449	"UPDT2"	1998	213449	2006																
10044791	12072	"PASS1"	1985	12072	1991	9480	1992	9480	2005												
10045107	8357	"NBER"	1968	8357	2006																
10045250	10037	"PASS1"	1960	10037	1972																
10045299	14084	"NBER"	1966	1236	1982	14084	1986	14084	2006												
10045316	4117	"NBER"	1959	4117	1977	7875	2005	7875	2006												
10045362	5073	"NBER"	1950	5073	2006																
10045386	4034	"NBER"	1954	4034	2006																
10045528	7082	"NBER"	1956	7082	1982																
10045633	5492	"NBER"	1951	5492	2006																
10045727	7114	"MTCH1"	1969	7114	2005																
10045844	10983	"NBER"	1950	10983	2006																
10046004	2403	"NBER"	1950	2403	2006																
10046009	7257	"NBER"	1950	7257	2006																
10046133	9236	"PHRM"	1961	9236	1996	13467	1997	13467	2006												
10046159	23088	"PASS1"	1989	23088	2006																
10046163	61580	"m2006"	1999	61580	2002																
10046190	12154	"NBER"	1985	12154	1991																
10046295	12944	"PASS1"	1986	12944	2005																
10046412	66049	"MTCH1"	1996	66049	2001																
10046473	10519	"NBER"	1950	10519	2006																
10046491	9459	"NBER"	1950	9459	2006																
10046532	30260	"MTCH1"	1993	30260	2006																
10046626	9113	"NBER"	1950	9113	1999																
10046682	9746	"FRAT"	1951	9746	1993																
10046687	10443	"NBER"	1958	10443	2006																
10046726	13333	"NBER"	1968	8829	1985	13333	1986	13333	1996	6096	1997	6096	1999	10787	2000	10787	2005				
10046883	4930	"PASS1"	1971	4930	1973																
10046945	2403	"NBER"	1950	2403	2006																
10046949	1308	"NBER"	1950	1308	2006																
10046977	7980	"UPDT2"	1973	7980	2006																
10047075	6571	"NBER"	1960	6571	2006																
10047166	16603	"MTCH1"	1982	16603	2006																
10047312	5018	"NBER"	1950	5018	2006																
10047406	14456	"UPDT2"	1987	14456	1989																
10047561	9369	"PASS1"	1950	9369	1980																
10047566	10857	"NBER"	1950	10857	2006																
10047571	6592	"MTCH1"	1961	6592	1969																
10047597	7039	"PASS1"	1970	7039	1984																
10047769	5658	"NBER"	1960	5658	1976																
10048107	10265	"NBER"	1960	10265	1978																
10048109	60913	"MTCH1"	1994	60913	1998																
10048155	1305	"NBER"	1960	1305	1976																
10048300	5959	"MTCH1"	1950	5959	2006																
10048459	8697	"NBER"	1961	8697	1974																
10048594	4004	"MTCH1"	1962	4004	1982																
10048653	8530	"NBER"	1950	8530	2006																
10048949	7257	"MTCH1"	1950	7257	2006																
10049139	1912	"m2006"	1983	1912	1989																
10049286	3735	"NBER"	1970	3735	2006																
10049363	8989	"NBER"	1964	8989	1994																
10049466	6761	"NBER"	1969	6761	1987																
10049612	20051	"m2006"	1990	20051	1992																
10049671	6195	"NBER"	1960	6195	1981	6765	1983	6765	2000	7985	2001	7985	2005								
10049719	6345	"PASS1"	1972	6345	1976																
10049760	13990	"NBER"	1960	13990	2006																
10049781	1357	"UPDT2"	1974	1357	1986																
10049838	5772	"NBER"	1965	5772	2003																
10049954	20578	"NBER"	1964	20578	1991																
10050042	1420	"NBER"	1950	1420	1974																
10050407	7435	"NBER"	1950	7435	2006																
10050485	10626	"PASS1"	1976	10626	2003																
10050574	1081	"NBER"	1974	1081	2006																
10050752	4420	"PASS1"	1974	4420	1987																
10050763	2617	"NBER"	1960	2617	1979																
10050831	17436	"MTCH1"	1998	17436	2006																
10050954	8968	"NBER"	1958	8968	1982																
10051008	10777	"NBER"	1966	10777	2006																
10051012	11273	"NBER"	1950	11273	1980	5734	1983	5734	2003												
10051147	8358	"NBER"	1950	8358	2006																
10051310	11059	"PASS1"	1961	11059	1973																
10051444	4305	"NBER"	1970	4305	1981																
10051527	7686	"MTCH1"	1960	7686	1981	28478	1983	5555	1991	28478	1992	28478	1997	14385	1998	14385	2005				
10051849	2075	"NBER"	1950	2075	1978																
10051908	17436	"PASS1"	1998	17436	2006																
10052110	5055	"NBER"	1950	5055	1985	13302	1986	13302	1991												
10052280	4158	"NBER"	1970	4158	1977																
10052429	11226	"NBER"	1964	11226	1983																
10052466	6430	"NBER"	1960	6430	1986																
10052495	3610	"NBER"	1979	3610	1990	16475	1991	16475	1996												
10052567	5650	"MTCH1"	1973	5650	2006																
10052739	1215	"NBER"	1950	1215	1977																
10052820	11749	"MTCH1"	1984	11749	2005																
10052899	2584	"MTCH1"	1974	2584	1980																
10053084	4204	"NBER"	1954	4204	1997	3734	1998	3734	2005												
10053164	31479	"NBER"	1950	3386	1978	31479	1993	31479	2006												
10053462	11636	"NBER"	1950	11636	2006																
10053664	7114	"MTCH1"	1969	7114	2005																
10053671	19613	"MTCH1"	1990	19613	2005																
10053679	8558	"NBER"	1972	8558	1988																
10053725	9549	"PASS1"	1981	9549	2002	14934	2003	14934	2005												
10053799	2473	"NBER"	1961	2473	1980																
10053833	10381	"PASS1"	1980	10381	1992																
10053889	8499	"NBER"	1971	8499	1978																
10053918	3041	"NBER"	1950	3041	2006																
10054022	10407	"NBER"	1961	10407	2006																
10054605	4864	"MTCH1"	1950	4864	2006																
10054647	107220	"MTCH1"	1999	107220	2003																
10054819	9977	"NBER"	1950	9977	1987	100135	2000	100135	2004												
10055051	8633	"NBER"	1965	8633	2006																
10055067	3424	"MTCH1"	1963	3424	2006																
10055091	1089	"NBER"	1971	1089	1979																
10055101	4540	"NBER"	1950	4540	1978																
10055147	7946	"NBER"	1959	7946	1991																
10055189	6628	"NBER"	1955	6628	1986																
10055225	10227	"NBER"	1963	10227	1984																
10055262	103159	"MTCH1"	1994	103159	2003																
10055274	5650	"MTCH1"	1973	5650	2006																
10055431	14900	"NBER"	1950	2102	1986	14900	1987	14900	1991												
10055558	7197	"PASS1"	1968	7197	1981																
10055571	9459	"NBER"	1950	9459	2006																
10055787	1297	"NBER"	1950	1297	1999																
10055909	145873	"PASS1"	1960	1709	1968	145873	1998	145873	1999												
10055910	6268	"NBER"	1950	6268	2006																
10055932	1965	"MTCH1"	1950	1965	1976																
10055956	7371	"NBER"	1972	7371	1983																
10056007	6409	"NBER"	1953	6409	1976																
10056189	5018	"NBER"	1950	5018	2006																
10056273	7030	"NBER"	1972	7030	1976																
10056305	3249	"NBER"	1950	3249	1974																
10056418	1609	"NBER"	1950	1609	1997																
10056541	12159	"m2006"	1985	12159	1987																
10056612	6182	"PASS1"	1974	6182	1999																
10056931	10873	"NBER"	1950	10873	1984																
10057019	4864	"NBER"	1950	4864	2006																
10057058	9947	"MTCH1"	1950	9947	1985																
10057079	10085	"NBER"	1976	10085	2005																
10057179	8124	"NBER"	1974	8124	1977																
10057285	12312	"NBER"	1981	12312	2003																
10057286	9507	"MTCH1"	1961	9507	1984																
10057287	7012	"PASS1"	1974	7012	1982																
10057326	9361	"PASS1"	1963	9361	1985																
10057527	3224	"NBER"	1950	3224	1988																
10057691	10275	"MTCH1"	1980	10275	2005																
10057733	5071	"NBER"	1950	5071	2005																
10057755	9236	"PHRM"	1961	9236	1996	13467	1997	13467	2006												
10057969	19344	"PASS1"	1989	19344	1992																
10058262	62398	"MTCH1"	1995	62398	1996	6266	1997	6266	2005												
10058298	9613	"MTCH1"	1963	9613	2006																
10058318	8683	"MTCH1"	1960	8683	1986																
10058444	10156	"FRAT"	1950	10156	2006																
10058496	11217	"UPDT2"	1983	11217	2006																
10058504	10443	"NBER"	1958	10443	2006																
10058693	4162	"NBER"	1982	4162	2005																
10058827	163980	"NBER"	1972	2174	1991	163980	2003	163980	2004												
10058898	11309	"NBER"	1973	11309	1979																
10059124	4321	"NBER"	1950	4321	2006																
10059133	15158	"MTCH1"	1988	15158	1990																
10059513	6502	"PASS1"	1950	6502	2006																
10059540	9458	"MTCH1"	1971	9458	1997	2751	1998	2751	2005												
10059719	5047	"NBER"	1950	5047	2006																
10059849	7402	"PASS1"	1976	7402	2005																
10060047	64172	"PASS1"	1995	64172	2002																
10060190	4199	"NBER"	1950	4199	2006																
10060275	5976	"NBER"	1950	5976	2001																
10060352	2082	"PASS1"	1974	2082	1979																
10060657	6000	"MTCH1"	1981	6000	1990																
10060781	4213	"NBER"	1950	4213	2006																
10061160	5907	"NBER"	1973	5907	1976																
10061446	8949	"NBER"	1966	8949	1988	5878	1989	5878	2005												
10061505	6430	"MTCH1"	1960	6430	1986																
10061758	8822	"NBER"	1982	8822	1987																
10061853	3835	"NBER"	1950	3835	2006																
10062230	9775	"PHRM"	1950	9775	1988	14261	1989	14261	2006												
10062412	6096	"NBER"	1950	6096	1999	10787	2000	10787	2005												
10062441	6731	"NBER"	1974	6731	1999	11096	2000	11096	2005												
10062559	6519	"NBER"	1960	6519	1982	11089	1983	11089	1984	7045	1985	7045	1999								
10062613	4321	"MTCH1"	1950	4321	2006																
10062729	11060	"NBER"	1960	11060	2006																
10062803	12457	"NBER"	1968	7709	1972	12457	1985	12457	1985												
10063130	10246	"MTCH1"	1974	10246	1988																
10063172	6421	"NBER"	1960	6421	1977																
10063179	13148	"NBER"	1972	13148	1994																
10063322	5856	"NBER"	1967	5856	1975																
10063440	12154	"NBER"	1985	12154	1991																
10063463	1793	"NBER"	1970	1793	1978																
10063682	5354	"NBER"	1961	5354	1994	5894	1995	5894	2005												
10063896	9984	"NBER"	1960	9984	1980	11262	1981	11262	1984												
10063919	7719	"PASS1"	1982	7719	1985	11336	1986	11336	1990												
10064206	1870	"PASS1"	1960	1870	1970																
10064397	25493	"NBER"	1950	9111	1989	25493	1990	25493	1993												
10064430	10514	"PASS1"	1982	10514	1987																
10064467	2221	"PASS1"	1983	2221	1988																
10064925	2176	"NBER"	1960	2176	2006																
10064937	1209	"NBER"	1950	1209	2006																
10064988	8189	"NBER"	1971	8189	1987																
10065248	4895	"NBER"	1950	4895	1996	14363	1997	14363	2003												
10065256	10241	"PASS1"	1982	10241	1991																
10065454	6977	"NBER"	1950	6977	1977	3748	1979	3748	1980												
10065910	10530	"NBER"	1967	10530	2006																
10065936	13555	"MTCH1"	1986	13555	1987	4327	1988	4327	1988												
10066221	100049	"UPDT2"	1994	100049	1998																
10066292	147449	"MTCH1"	2000	147449	2006																
10066345	6486	"MTCH1"	1950	6486	1979																
10066700	102045	"MTCH1"	1998	102045	2005																
10066741	8071	"MTCH1"	1984	8071	2006																
10066749	7257	"NBER"	1950	7257	2006																
10066760	10538	"NBER"	1950	10538	1981																
10066878	5084	"m2006"	1950	5084	1974																
10066880	5460	"NBER"	1954	5460	1997	11462	1998	11462	2003												
10066911	18811	"NBER"	1989	18811	1998																
10066924	66616	"UPDT2"	1998	66616	2000																
10066973	8585	"NBER"	1950	8585	1987	18597	1989	18597	1996	5071	2001	5071	2004								
10066980	1825	"NBER"	1970	1825	1979																
10067050	19043	"UPDT2"	1993	19043	2002																
10067111	3793	"PASS1"	1982	3793	2005																
10067194	11152	"NBER"	1967	11152	1976																
10067336	22263	"MTCH1"	1989	22263	1998																
10067352	10617	"NBER"	1962	10617	1981																
10067363	7534	"NBER"	1950	7534	1976																
10067385	7777	"NBER"	1950	7777	1999																
10067487	7166	"MTCH1"	1963	7166	1976																
10067525	11346	"PASS1"	1974	11346	1978																
10067548	7143	"PASS1"	1974	7143	2001																
10067779	1159	"NBER"	1960	1159	1985																
10067821	1752	"NBER"	1969	1752	1974																
10067946	4327	"NBER"	1950	4327	1988																
10068189	3200	"NBER"	1964	3200	1998	5229	1999	5229	2005												
10068272	6856	"NBER"	1960	6856	1994																
10068310	9977	"NBER"	1950	9977	1987	100135	2000	100135	2004												
10068611	5229	"MTCH1"	1950	5229	2006																
10068671	8451	"NBER"	1968	8451	1990																
10068691	1976	"NBER"	1954	1976	2006																
10068785	10339	"NBER"	1975	10339	1980																
10068958	4217	"PASS1"	1974	4217	1980																
10069003	3735	"NBER"	1970	3735	2006																
10069093	6104	"NBER"	1950	6104	2006																
10069607	8196	"MTCH1"	1978	8196	1984																
10069786	10541	"NBER"	1955	10541	2004	30098	2005	30098	2006												
10069838	14461	"PASS1"	1987	14461	1987																
10069928	11749	"MTCH1"	1984	11749	2005																
10069955	1356	"FRAT"	1950	1356	2006																
10070107	4316	"PASS1"	1987	4316	2002																
10070481	14265	"MTCH1"	1987	14265	2006																
10070796	19349	"MTCH1"	1994	19349	2006																
10070939	9797	"NBER"	1973	9797	1983																
10071149	4138	"NBER"	1960	4138	1999																
10071389	9071	"NBER"	1966	9071	2000																
10071455	9218	"NBER"	1950	9218	1997																
10071474	10855	"NBER"	1950	10855	1998	6104	1999	6104	2005												
10071480	6848	"NBER"	1960	6848	2006																
10071504	9456	"PASS1"	1950	9456	1970																
10071638	5382	"UPDT2"	1950	5382	1983	2991	1984	2991	2005												
10071759	7318	"PASS1"	1960	7318	1971																
10071859	8415	"NBER"	1967	8415	1981	3362	1982	3362	2004												
10072031	11699	"MTCH1"	1980	11699	1999																
10072176	7776	"NBER"	1968	7776	1979																
10072275	19349	"MTCH1"	1994	19349	2006																
10072444	8607	"MTCH1"	1960	8607	2000																
10072485	6905	"NBER"	1950	6905	1979																
10072622	7842	"NBER"	1950	7842	1984																
10072683	5800	"NBER"	1968	5800	1978																
10072712	2448	"NBER"	1950	2448	2006																
10072787	6631	"NBER"	1966	6631	1997	9217	1999	9217	2005												
10072801	8068	"NBER"	1960	8068	2006																
10073172	8098	"NBER"	1950	8098	1977	4186	1984	4186	2005												
10073256	3296	"NBER"	1973	3296	1984																
10073441	10671	"m2006"	1975	10671	2006																
10073511	3479	"NBER"	1976	3479	1979																
10073566	10243	"MTCH1"	1959	10243	1993																
10073634	17420	"PASS1"	2000	17420	2005																
10073734	9384	"NBER"	1960	9384	1995																
10073839	6861	"NBER"	1954	6861	1989	7114	1991	7114	1994	9548	1995	9548	2000								
10073941	16603	"MTCH1"	1982	16603	2006																
10074320	15334	"NBER"	1984	15334	2005																
10074352	12446	"NBER"	1984	12446	1987																
10074685	9332	"NBER"	1950	9332	2002	8717	2003	8717	2005												
10074690	10085	"MTCH1"	1976	10085	2005																
10074694	3206	"NBER"	1951	3206	2003	7974	2004	7974	2005												
10074698	6837	"NBER"	1950	6837	1997																
10074703	114777	"FRAT"	1996	114777	2001																
10074795	4535	"NBER"	1976	4535	1987																
10074845	5164	"MTCH1"	1969	5164	1985																
10074855	20747	"MTCH1"	1980	10464	1989	20747	1993	20747	2006												
10075071	10204	"PASS1"	1967	10204	1992																
10075209	7784	"NBER"	1950	7784	1973																
10075221	1512	"NBER"	1969	1512	1980																
10075453	4835	"NBER"	1950	4835	1987																
10075552	7720	"PASS1"	1972	7720	1995																
10075768	5119	"NBER"	1966	5119	1994																
10075960	10373	"NBER"	1968	10373	1979																
10076073	2086	"NBER"	1950	2086	2006																
10076085	13963	"NBER"	1950	6726	1982	13963	1987	13963	2006												
10076161	15257	"NBER"	1987	15257	1997																
10076187	3460	"NBER"	1950	3460	1983																
10076527	2917	"NBER"	1950	2917	1999	6104	2000	6104	2005												
10076548	5959	"NBER"	1950	5959	2006																
10076795	202421	"MTCH1"	2001	202421	2005																
10077039	3095	"NBER"	1970	3096	1973	3095	1974	3095	1980												
10077270	10052	"NBER"	1968	10052	1974																
10077314	18466	"MTCH1"	1999	18466	2005																
10077390	8585	"NBER"	1950	8585	1987	18597	1989	18597	1996	5071	2001	5071	2004								
10077400	3883	"NBER"	1964	3883	1976																
10077491	5749	"MTCH1"	1975	5749	1978																
10077518	4603	"NBER"	1950	4603	1994	6104	1996	6104	2005												
10077527	1408	"FRAT"	1950	1408	2006																
10077593	4994	"MTCH1"	1960	4994	1972																
10077913	64789	"PASS1"	1961	4458	1972	64789	1996	64789	1997												
10078246	3746	"NBER"	1950	3746	1992																
10078597	6081	"NBER"	1950	6081	2004																
10078629	20364	"NBER"	1969	20364	1992																
10078631	7636	"NBER"	1971	7636	2006																
10078690	9700	"NBER"	1963	9700	1979	8280	1987	8280	1997	3735	1998	3735	2005								
10078756	5615	"PASS1"	1974	5615	1985																
10078808	10323	"NBER"	1960	10323	1996	2787	1998	2787	2005												
10079055	9771	"MTCH1"	1960	9771	2006																
10079163	1067	"PASS1"	1960	1067	1983																
10079302	5364	"NBER"	1964	5364	1980																
10079344	5972	"NBER"	1950	5972	1976																
10079489	5464	"NBER"	1960	5464	1999																
10079507	5974	"NBER"	1967	5974	1978																
10079559	7394	"NBER"	1960	7394	1976																
10079707	1866	"PASS1"	1982	1866	2004																
10079791	1243	"MTCH1"	1950	1243	2006																
10079818	9643	"NBER"	1972	9643	1999																
10080008	1613	"NBER"	1960	1613	2006																
10080084	5807	"PASS1"	1975	5807	1985																
